http://www.bigdatanews.com/profiles/blogs/the-7-most-unusual-applications-of-big-data-you-ve-ever-seen:like 0,view 295, facebook 0
http://www.bigdatanews.com/profiles/blogs/how-to-speak-at-atlanta-s-big-data-week:like 0,view 299, facebook 0
http://www.bigdatanews.com/profiles/blogs/the-pads-framework-with-diagram:like 0,view 549, facebook 0
http://www.bigdatanews.com/profiles/blogs/highest-user-of-smartphones-uae-will-open-new-doors-for-big-data:like 0,view 288, facebook 0
http://www.bigdatanews.com/profiles/blogs/introducing-the-pads-framework:like 0,view 640, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-s-real-3vs:like 1,view 1671, facebook 0
http://www.bigdatanews.com/profiles/blogs/using-big-data-to-better-serve-customers:like 0,view 741, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-is-cheap-and-easy:like 0,view 531, facebook 0
http://www.bigdatanews.com/profiles/blogs/new-book-big-data-at-work-dispelling-the-myths-uncovering-the-opp:like 0,view 214, facebook 0
http://www.bigdatanews.com/profiles/blogs/cto-at-georgia-tech-looking-forward-to-life-with-big-data:like 0,view 247, facebook 0
http://www.bigdatanews.com/profiles/blogs/my-thoughts-on-big-data-and-data-science-no-it-s-not-hype:like 2,view 4742, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-natural-language-processing:like 1,view 2644, facebook 0
http://www.bigdatanews.com/profiles/blogs/meet-the-new-software-analyst:like 1,view 1159, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-startups-pull-in-big-money-in-2013-venturebeat:like 0,view 908, facebook 0
http://www.bigdatanews.com/profiles/blogs/razorfish-analyses-big-data-and-creates-profitable-customer:like 0,view 574, facebook 0
http://www.bigdatanews.com/profiles/blogs/managing-a-big-data-overflow-through-analytic-offloading:like 0,view 345, facebook 0
http://www.bigdatanews.com/profiles/blogs/retailers-using-big-data-the-secret-behind-amazon-and-nordstrom-s:like 3,view 2487, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-social-media-insights-are-bringing-more-customers-to:like 3,view 827, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-making-small-wonders-in-uae:like 0,view 898, facebook 0
http://www.bigdatanews.com/profiles/blogs/how-telecommunication-companies-can-profit-from-big-data:like 0,view 1800, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-and-the-different-types-of-decision:like 0,view 893, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-set-3-5-billion-web-pages-made-available-for-all-of-us:like 2,view 8331, facebook 0
http://www.bigdatanews.com/profiles/blogs/hadoop-as-a-data-management-hub:like 1,view 1621, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-ecosystem-linkedin:like 0,view 923, facebook 0
http://www.bigdatanews.com/profiles/blogs/unleashing-intelligence-through-natural-language-part-4-data:like 0,view 170, facebook 0
http://www.bigdatanews.com/profiles/blogs/gilt-groupe-big-data-s-experience:like 0,view 431, facebook 0
http://www.bigdatanews.com/profiles/blogs/50-open-source-tools-for-big-data-see-anything-missing:like 3,view 6158, facebook 0
http://www.bigdatanews.com/profiles/blogs/deriving-value-with-data-visualization-tools:like 0,view 0, facebook 0
http://www.bigdatanews.com/profiles/blogs/our-best-big-data-science-articles:like 1,view 1434, facebook 0
http://www.bigdatanews.com/profiles/blogs/better-mobile-app-performance-with-html5:like 0,view 465, facebook 0
http://www.bigdatanews.com/profiles/blogs/so-you-have-become-a-data-scientist-so-you-have-hired-a-data:like 1,view 1129, facebook 0
http://www.bigdatanews.com/profiles/blogs/strategy-should-be-big-data-job-2:like 0,view 725, facebook 0
http://www.bigdatanews.com/profiles/blogs/eleven-financial-clues-in-acquisition-targets:like 2,view 418, facebook 0
http://www.bigdatanews.com/profiles/blogs/can-the-mainframe-be-a-cloud-platform:like 0,view 484, facebook 0
http://www.bigdatanews.com/profiles/blogs/an-extensive-glossary-of-big-data-terminology:like 1,view 2790, facebook 0
http://www.bigdatanews.com/profiles/blogs/make-data-strategy-part-of-corporate-strategy:like 1,view 296, facebook 0
http://www.bigdatanews.com/profiles/blogs/three-data-categories-likely-missing-in-your-data-warehouse:like 1,view 2051, facebook 0
http://www.bigdatanews.com/profiles/blogs/how-to-guarantee-big-roi-on-big-data:like 0,view 1646, facebook 0
http://www.bigdatanews.com/profiles/blogs/data-discovery-s-next-chapter:like 0,view 371, facebook 0
http://www.bigdatanews.com/profiles/blogs/ge-s-clarion-call-on-cloud-and-analytics:like 0,view 491, facebook 0
http://www.bigdatanews.com/profiles/blogs/data-silos-are-unavoidable-and-maybe-desirable:like 0,view 1010, facebook 0
http://www.bigdatanews.com/profiles/blogs/nasty-data-corruption-getting-exponentially-worse-with-the-size-o:like 1,view 1641, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-the-end-of-beginning:like 3,view 3045, facebook 0
http://www.bigdatanews.com/profiles/blogs/unleashing-intelligence-through-natural-language-part-3:like 0,view 45, facebook 0
http://www.bigdatanews.com/profiles/blogs/dbta-100-the-companies-that-matter-most-in-data:like 0,view 2463, facebook 0
http://www.bigdatanews.com/profiles/blogs/the-3-vs-of-big-data-revisited:like 2,view 3861, facebook 0
http://www.bigdatanews.com/profiles/blogs/unleashing-intelligence-through-natural-language-part-2:like 0,view 386, facebook 0
http://www.bigdatanews.com/profiles/blogs/shouldn-t-assuring-the-user-experience-be-big-data-job-1:like 0,view 273, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-analytics-in-retail:like 1,view 2059, facebook 0
http://www.bigdatanews.com/profiles/blogs/when-data-flows-faster-than-it-can-be-processed:like 3,view 3413, facebook 0
http://www.bigdatanews.com/profiles/blogs/bit-ly-for-competitive-intelligence:like 0,view 1727, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-ecosystem:like 1,view 3961, facebook 0
http://www.bigdatanews.com/profiles/blogs/internet-topology-massive-and-amazing-graphs:like 2,view 6553, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-vendor-revenue-and-market-forecast-2012-2017:like 1,view 3107, facebook 0
http://www.bigdatanews.com/profiles/blogs/building-a-community-around-big-data:like 0,view 149, facebook 0
http://www.bigdatanews.com/profiles/blogs/market-trends-big-data-opportunities-in-vertical-industries:like 1,view 1180, facebook 0
http://www.bigdatanews.com/profiles/blogs/fast-clustering-algorithms-for-massive-datasets:like 8,view 42609, facebook 0
http://www.bigdatanews.com/profiles/blogs/book-mining-of-massive-data-sets:like 0,view 3359, facebook 0
http://www.bigdatanews.com/profiles/blogs/do-you-really-need-a-data-scientist:like 2,view 438, facebook 0
http://www.bigdatanews.com/profiles/blogs/big-data-journal-inauguration:like 0,view 522, facebook 0
http://www.bigdatanews.com/profiles/blogs/four-takeaways-from-the-big-data-paradigm-shift-white-paper:like 2,view 258, facebook 0
http://www.bigdatanews.com/profiles/blogs/letter-from-the-editor:like 0,view 26, facebook 0
http://www.bigdatanews.com/profiles/blogs/mapreduce-for-vmware-player-images:like 2,view 79, facebook 0
http://www.bigdatanews.com/profiles/blogs/is-big-data-an-opportunity-or-a-threat-for-developing-countries:like 0,view 337, facebook 0
http://www.bigdatanews.com/profiles/blogs/53-5-billion-clicks-dataset-available-for-benchmarking-and-testin:like 3,view 8893, facebook 0
http://www.bigdatanews.com/profiles/blogs/what-s-next-for-big-data:like 0,view 107, facebook 0
http://www.bigdatanews.com/profiles/blogs/what-mapreduce-can-t-do:like 3,view 129, facebook 0
http://www.bigdatanews.com/profiles/blogs/the-future-of-big-data-is-apps-not-infrastusture:like 0,view 126, facebook 0
http://www.bigdatanews.com/profiles/blogs/the-curse-of-big-data:like 0,view 78, facebook 0
