http://www.datasciencecentral.com/profiles/blogs/check-out-our-dsc-newsletter:like 18,view 208817, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-many-analytics-companies-are-there:like 5,view 1485, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-data-analytics-landscape-a-crystal-ball:like 2,view 1106, facebook 0
http://www.datasciencecentral.com/profiles/blogs/client-regulatory-data-management-challenges-and-opportunities:like 0,view 195, facebook 0
http://www.datasciencecentral.com/profiles/blogs/5-text-classification-case-studies-using-scikit-learn:like 1,view 1818, facebook 0
http://www.datasciencecentral.com/profiles/blogs/100-tops-data-science-presentations:like 5,view 5098, facebook 0
http://www.datasciencecentral.com/profiles/blogs/10-most-popular-data-science-presentations-on-slideshare:like 0,view 6521, facebook 0
http://www.datasciencecentral.com/profiles/blogs/great-github-list-of-public-data-sets:like 11,view 30102, facebook 0
http://www.datasciencecentral.com/profiles/blogs/wearable-technology-bringing-digital-disruption-to-our-lives:like 0,view 274, facebook 0
http://www.datasciencecentral.com/profiles/blogs/recurrent-neural-networks-time-series-data-and-iot-part-one:like 6,view 4799, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-in-the-cloud-with-datajoy:like 0,view 407, facebook 0
http://www.datasciencecentral.com/profiles/blogs/my-data-science-glossary:like 5,view 1132, facebook 0
http://www.datasciencecentral.com/profiles/blogs/50-free-data-science-books:like 7,view 18589, facebook 0
http://www.datasciencecentral.com/profiles/blogs/an-introduction-to-creating-value-with-big-data-analytics-making:like 1,view 620, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-real-reason-for-house-price-inflation-in-new-zealand:like 0,view 371, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-shell-uses-analytics-to-drive-business-success:like 0,view 957, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-choose-between-learning-python-or-r-first:like 3,view 4153, facebook 0
http://www.datasciencecentral.com/profiles/blogs/an-introduction-to-apache-drill-and-why-is-it-useful:like 2,view 711, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-become-a-data-scientist-for-free-1:like 12,view 10916, facebook 0
http://www.datasciencecentral.com/profiles/blogs/15-books-every-data-scientist-should-read:like 8,view 25997, facebook 0
http://www.datasciencecentral.com/profiles/blogs/all-businesses-are-data-businesses:like 2,view 750, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-september-21:like 0,view 570, facebook 0
http://www.datasciencecentral.com/profiles/blogs/10-tools-and-platforms-for-data-preparation:like 4,view 5171, facebook 0
http://www.datasciencecentral.com/profiles/blogs/why-bad-data-is-wasting-your-marketing-efforts:like 0,view 447, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-is-the-most-used-feature-in-any-business-intelligence-soluti:like 0,view 897, facebook 0
http://www.datasciencecentral.com/profiles/blogs/baby-steps:like 3,view 554, facebook 0
http://www.datasciencecentral.com/profiles/blogs/applying-data-exploration-discovery-techniques-to-bcbs-239:like 1,view 258, facebook 0
http://www.datasciencecentral.com/profiles/blogs/analyse-tb-data-using-network-analysis:like 4,view 585, facebook 0
http://www.datasciencecentral.com/profiles/blogs/7-questions-every-data-scientist-should-be-answering-for-business:like 10,view 2040, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-dark-is-your-data:like 1,view 380, facebook 0
http://www.datasciencecentral.com/profiles/blogs/basics-of-hdfs-architecture-in-hadoop:like 0,view 395, facebook 0
http://www.datasciencecentral.com/profiles/blogs/when-enough-is-enough-using-data-to-understand-how-much-we-really:like 3,view 891, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weather-prediction-by-region-us-only:like 0,view 60, facebook 0
http://www.datasciencecentral.com/profiles/blogs/automating-the-data-scientist:like 2,view 1461, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-top-trends-in-2015:like 3,view 1826, facebook 0
http://www.datasciencecentral.com/profiles/blogs/10-popular-java-machine-learning-tools-libraries:like 4,view 1030, facebook 0
http://www.datasciencecentral.com/profiles/blogs/five-signs-you-are-a-big-data-horder:like 1,view 1066, facebook 0
http://www.datasciencecentral.com/profiles/blogs/doing-illegal-data-science-without-knowing-it:like 2,view 3535, facebook 0
http://www.datasciencecentral.com/profiles/blogs/interesting-data-science-application-steganography:like 5,view 6051, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-is-hadoop-great-infographics-explains-how-it-works:like 1,view 2603, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-perfect-cheer:like 0,view 102, facebook 0
http://www.datasciencecentral.com/profiles/blogs/education-analytics-and-the-evolution-of-schooling-model:like 2,view 440, facebook 0
http://www.datasciencecentral.com/profiles/blogs/are-you-victim-of-data-quality-procrastination:like 4,view 725, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-wearables-is-the-benefit-worth-the-risk:like 2,view 309, facebook 0
http://www.datasciencecentral.com/profiles/blogs/7-traits-of-highly-successful-business-analytics-professionals:like 5,view 2480, facebook 0
http://www.datasciencecentral.com/profiles/blogs/using-big-data-for-kyc-and-aml-efforts-is-elementary:like 0,view 183, facebook 0
http://www.datasciencecentral.com/profiles/blogs/accelerating-data-science-curated-cleansed-datasets-can-make-a:like 2,view 411, facebook 0
http://www.datasciencecentral.com/profiles/blogs/sparql-is-the-new-king-of-all-data-scientist-s-tools:like 4,view 2961, facebook 0
http://www.datasciencecentral.com/profiles/blogs/here-are-15-libraries-in-various-languages-to-help-implement-your:like 2,view 3188, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-september-14:like 0,view 527, facebook 0
http://www.datasciencecentral.com/profiles/blogs/is-your-organization-data-distressed:like 1,view 414, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-big-data-is-creating-big-wonders-for-organizations-globally:like 0,view 387, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-alternative-list-of-global-power-elite:like 3,view 2704, facebook 0
http://www.datasciencecentral.com/profiles/blogs/clojure-machine-learning-statistics-libraries:like 1,view 725, facebook 0
http://www.datasciencecentral.com/profiles/blogs/affinity-analysis-cost-effective-data-science-for-smaller-banks-a:like 6,view 1144, facebook 0
http://www.datasciencecentral.com/profiles/blogs/i-have-decided-to-become-a-data-scientist:like 1,view 482, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-become-a-data-scientist-for-free:like 92,view 111721, facebook 0
http://www.datasciencecentral.com/profiles/blogs/sql-an-introduction:like 0,view 1709, facebook 0
http://www.datasciencecentral.com/profiles/blogs/grave-mistakes-that-companies-make-in-big-data-projects:like 2,view 896, facebook 0
http://www.datasciencecentral.com/profiles/blogs/your-users-are-tangled-in-data:like 1,view 283, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-balance-the-five-analytic-dimensions:like 1,view 1313, facebook 0
http://www.datasciencecentral.com/profiles/blogs/can-context-extraction-replace-sentiment-analysis:like 4,view 853, facebook 0
http://www.datasciencecentral.com/profiles/blogs/hedge-fund-strategies:like 2,view 750, facebook 0
http://www.datasciencecentral.com/profiles/blogs/discover-access-distill-the-essence-of-data-science:like 0,view 582, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-scientist-demographics-2015-versus-2013-comparison:like 1,view 2182, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-scientist-demographics:like 4,view 6758, facebook 0
http://www.datasciencecentral.com/profiles/blogs/job-interview-questions-for-data-scientists:like 4,view 4284, facebook 0
http://www.datasciencecentral.com/profiles/blogs/phenomenalism-and-unexplained-phenomena:like 0,view 179, facebook 0
http://www.datasciencecentral.com/profiles/blogs/an-e-i-c-moment-of-truth:like 0,view 260, facebook 0
http://www.datasciencecentral.com/profiles/blogs/can-big-data-algorithms-tell-better-stories-than-humans:like 0,view 1688, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-too-many-answers-not-enough-questions:like 2,view 1597, facebook 0
http://www.datasciencecentral.com/profiles/blogs/10-worst-mistakes-for-data-scientists:like 6,view 7353, facebook 0
http://www.datasciencecentral.com/profiles/blogs/training-neural-networks-q-a-with-ian-goodfellow-google:like 1,view 893, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-business-translator-the-missing-link-to-make-data-science:like 2,view 414, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-september-7:like 0,view 718, facebook 0
http://www.datasciencecentral.com/profiles/blogs/why-big-data-isn-t-necessarily-better-data:like 3,view 833, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-dark-side-of-big-data:like 5,view 934, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-with-python-r-dimensionality-reduction-and:like 4,view 4856, facebook 0
http://www.datasciencecentral.com/profiles/blogs/bernoulli-trails-binomial-experiment-s-usage-in-fraud-detection:like 4,view 652, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-visualization:like 0,view 448, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-clean-is-your-data:like 2,view 698, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-analysis-benefits-and-challenges-for-small-and-medium:like 0,view 60, facebook 0
http://www.datasciencecentral.com/profiles/blogs/got-a-dmp-coming-in-pick-up-your-underwear:like 2,view 360, facebook 0
http://www.datasciencecentral.com/profiles/blogs/simpson-s-paradox-in-the-age-of-real-time-analytics:like 5,view 1389, facebook 0
http://www.datasciencecentral.com/profiles/blogs/who-moved-the-median:like 0,view 679, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-nasa-experiments-with-knowledge-discovery:like 3,view 983, facebook 0
